filename,status,original_width,original_height,processed_width,processed_height,final_width,final_height,scale_x,scale_y,detected_angle,suggested_scale_y,iso_auto_scale_applied,iso_auto_scale_y,iso_pre_right_ratio,iso_pre_left_ratio,iso_pre_avg_ratio,iso_pre_side_diff,iso_align_skipped_reason,iso_right_ratio,iso_left_ratio,iso_avg_ratio,iso_side_diff,iso_right_abs_ratio,iso_left_abs_ratio,iso_measurement_method,iso_right_point,iso_left_point,iso_bottom_point,output_path,error
government/2x2/primarySchool2-01.png,success,1254,1254,1254,1045,1024,1024,1.0,1.0,,,True,0.8741,0.5818,0.5622,0.572,0.0196,,-0.5102,0.4924,0.5013,0.0178,0.5102,0.4924,bottom-scan-10pct+virtual,"(905,764)","(117,771)","(511,965)",output/modified4/government/2x2/primarySchool2-01.png,
government/2x2/secondarySchool2-01.png,success,1254,1254,1254,1029,1024,1024,1.0,1.0,,,True,0.8203,0.614,0.6049,0.6095,0.0091,,-0.505,0.495,0.5,0.01,0.505,0.495,bottom-scan-10pct+virtual,"(911,787)","(111,789)","(513,988)",output/modified4/government/2x2/secondarySchool2-01.png,
government/2x2/secondarySchool2-02.png,success,1254,1254,1254,1030,1024,1024,1.0,1.0,,,True,0.821,0.6127,0.6053,0.609,0.0074,,-0.5013,0.4963,0.4988,0.005,0.5013,0.4963,bottom-scan-10pct+virtual,"(911,787)","(111,788)","(512,987)",output/modified4/government/2x2/secondarySchool2-02.png,
government/3x3/college3-01.png,success,699,430,699,365,1024,1024,1.0,1.0,,,True,0.8489,0.6016,0.5764,0.589,0.0252,,-0.5117,0.4896,0.5007,0.0221,0.5117,0.4896,bottom-scan-10pct+virtual,"(783,907)","(239,897)","(527,1038)",output/modified4/government/3x3/college3-01.png,
government/3x3/college3-02.png,success,699,450,699,373,1024,1024,1.0,1.0,,,True,0.8295,0.5896,0.6159,0.6028,0.0263,,-0.4888,0.5109,0.4999,0.0221,0.4888,0.5109,bottom-scan-10pct+virtual,"(783,906)","(239,896)","(515,1037)",output/modified4/government/3x3/college3-02.png,
government/3x3/college3-03.png,success,708,470,708,401,1024,1024,1.0,1.0,,,True,0.8531,0.5933,0.5789,0.5861,0.0144,,-0.5075,0.4947,0.5011,0.0128,0.5075,0.4947,bottom-scan-10pct+virtual,"(787,900)","(236,896)","(519,1036)",output/modified4/government/3x3/college3-03.png,
government/3x3/fireStation3-01-Photoroom.png,success,1254,1254,1254,1001,1024,1024,1.0,1.0,,,True,0.8097,0.659,0.5759,0.6175,0.0831,,-0.5307,0.4649,0.4978,0.0658,0.5307,0.4649,bottom-scan-10pct+virtual,"(911,809)","(112,794)","(553,999)",output/modified4/government/3x3/fireStation3-01-Photoroom.png,
government/3x3/stockExchange3-01.PNG,success,1250,1096,1250,828,1024,1024,1.0,1.0,,,True,0.7554,0.6632,0.6605,0.6619,0.0027,,-0.5013,0.4988,0.5,0.0025,0.5013,0.4988,bottom-scan-10pct+virtual,"(911,816)","(111,816)","(512,1016)",output/modified4/government/3x3/stockExchange3-01.png,
government/3x3/university3-01.png,success,1254,1254,1254,1017,1024,1024,1.0,1.0,,,True,0.8114,0.6141,0.6183,0.6162,0.0042,,-0.4987,0.5025,0.5006,0.0038,0.4987,0.5025,bottom-scan-10pct+virtual,"(904,710)","(117,708)","(511,906)",output/modified4/government/3x3/university3-01.png,
government/4x4/university4-01.png,success,1254,1254,1254,1002,1024,1024,1.0,1.0,,,True,0.8361,0.5847,0.6113,0.598,0.0266,,-0.4889,0.5103,0.4996,0.0214,0.4889,0.5103,bottom-scan-10pct+virtual,"(906,739)","(113,739)","(501,937)",output/modified4/government/4x4/university4-01.png,
